source_id,target_id,source_dataset,target_dataset
3610511,5863152,E13,TFP
3610511,7046912,E13,E13
3610511,7773732,E13,TFP
3610511,12179872,E13,TFP
3610511,14709812,E13,E13
3610511,15391421,E13,E13
3610511,19706832,E13,TFP
3610511,21770069,E13,E13
3610511,22598920,E13,TFP
3610511,22624920,E13,TFP
3610511,92403540,E13,E13
3610511,104566770,E13,E13
3610511,118898139,E13,E13
3610511,138867555,E13,E13
3610511,163479707,E13,TFP
3610511,222893837,E13,TFP
3610511,321425967,E13,E13
3610511,440691931,E13,E13
3610511,443896569,E13,TFP
5656162,31162918,E13,E13
5656162,118898139,E13,E13
5682702,206615715,E13,E13
6015122,7246122,E13,TFP
6015122,96360063,E13,TFP
6067292,5863152,E13,TFP
6067292,22598920,E13,TFP
6067292,195763762,E13,TFP
6067292,455775628,E13,E13
6140012,22203964,E13,E13
6140012,34355343,E13,E13
6140012,128857854,E13,TFP
6684602,31102741,E13,E13
6684602,84596057,E13,E13
6684602,104566770,E13,E13
6684602,104897833,E13,E13
6684602,113746083,E13,E13
6684602,157042531,E13,TFP
6684602,174747861,E13,E13
6684602,183148817,E13,E13
6684602,195763762,E13,TFP
6684602,216522413,E13,E13
6684602,232560751,E13,E13
6684602,349204176,E13,E13
6684602,403766373,E13,E13
6684602,425263052,E13,E13
6684602,425380217,E13,E13
6684602,425840466,E13,E13
6684602,428117425,E13,E13
6684602,522582939,E13,E13
6684602,558489220,E13,E13
6684602,593546714,E13,E13
6684602,801510450,E13,E13
6684602,825336607,E13,E13
6684602,876501625,E13,E13
7046912,24503,E13,TFP
7046912,3610511,E13,E13
7046912,7773732,E13,TFP
7046912,8291932,E13,E13
7046912,9939012,E13,E13
7046912,12179872,E13,TFP
7046912,12551742,E13,TFP
7046912,13260592,E13,E13
7046912,14057516,E13,E13
7046912,14709812,E13,E13
7046912,14865840,E13,E13
7046912,16591972,E13,E13
7046912,18800245,E13,E13
7046912,22203964,E13,E13
7046912,28342883,E13,E13
7046912,36381609,E13,E13
7046912,38223194,E13,E13
7046912,51150318,E13,E13
7046912,56326516,E13,E13
7046912,56345134,E13,E13
7046912,57573169,E13,TFP
7046912,59083826,E13,E13
7046912,62017536,E13,E13
7046912,77165019,E13,E13
7046912,81680710,E13,E13
7046912,117463248,E13,E13
7046912,118339229,E13,E13
7046912,118898139,E13,E13
7046912,119065059,E13,E13
7046912,128587032,E13,E13
7046912,160466484,E13,E13
7046912,163354973,E13,E13
7046912,264333523,E13,E13
7046912,296876973,E13,E13
7046912,300796010,E13,E13
7046912,321425967,E13,E13
7046912,374488191,E13,E13
7046912,425840466,E13,E13
7046912,427674701,E13,E13
7046912,444833485,E13,E13
7046912,466489818,E13,E13
7046912,531280420,E13,E13
7046912,862068776,E13,E13
7470952,8291932,E13,E13
7470952,22598920,E13,TFP
7470952,48989220,E13,E13
7470952,62364690,E13,E13
7470952,93378883,E13,TFP
7470952,109079114,E13,E13
7470952,110273768,E13,E13
7470952,152905850,E13,TFP
7470952,157042531,E13,TFP
7470952,168761446,E13,E13
7470952,201012406,E13,E13
7470952,261223538,E13,E13
7470952,469218793,E13,TFP
7470952,706819428,E13,E13
8291932,5863152,E13,TFP
8291932,7046912,E13,E13
8291932,7470952,E13,E13
8291932,9993142,E13,E13
8291932,15350901,E13,E13
8291932,15873303,E13,E13
8291932,22521283,E13,TFP
8291932,22598920,E13,TFP
8291932,22624920,E13,TFP
8291932,22970058,E13,TFP
8291932,67253599,E13,TFP
8291932,77243029,E13,E13
8291932,85391583,E13,E13
8291932,93378883,E13,TFP
8291932,95243555,E13,E13
8291932,109079114,E13,E13
8291932,140527863,E13,TFP
8291932,152905850,E13,TFP
8291932,178507135,E13,E13
8291932,188047458,E13,TFP
8291932,415073613,E13,E13
8291932,422226730,E13,E13
8858022,49319803,E13,E13
8858022,202220813,E13,TFP
8927532,15271419,E13,E13
8933252,14443340,E13,TFP
8933252,22598920,E13,TFP
8933252,56326516,E13,E13
8933252,85184915,E13,E13
8933252,92403540,E13,E13
8933252,93378883,E13,TFP
8933252,104566770,E13,E13
8933252,111924058,E13,E13
8933252,131197741,E13,TFP
8933252,157042531,E13,TFP
8933252,178507135,E13,E13
8933252,187536784,E13,E13
8933252,245306807,E13,E13
8933252,425263052,E13,E13
8933252,599940695,E13,E13
9564632,43964510,E13,E13
9564632,60490488,E13,TFP
9564632,153324815,E13,E13
9939012,2007021,E13,TFP
9939012,5863152,E13,TFP
9939012,7046912,E13,E13
9939012,12179872,E13,TFP
9939012,15391421,E13,E13
9939012,22521283,E13,TFP
9939012,22598920,E13,TFP
9939012,28342883,E13,E13
9939012,104566770,E13,E13
9939012,157042531,E13,TFP
9939012,178507135,E13,E13
9993142,8291932,E13,E13
9993142,14709812,E13,E13
9993142,22598920,E13,TFP
9993142,104566770,E13,E13
9993142,327900613,E13,E13
10492262,469218793,E13,TFP
11176152,415073613,E13,E13
11176152,425380217,E13,E13
13260592,7046912,E13,E13
13260592,44335261,E13,E13
13260592,56326516,E13,E13
13260592,188043254,E13,TFP
13260592,299837277,E13,E13
14057516,7046912,E13,E13
14057516,71582266,E13,E13
14057516,131197741,E13,TFP
14057516,207490418,E13,TFP
14057516,599940695,E13,E13
14057516,900040604,E13,E13
14057516,977265403,E13,E13
14112759,513726022,E13,E13
14709812,769985,E13,TFP
14709812,3610511,E13,E13
14709812,5863152,E13,TFP
14709812,7046912,E13,E13
14709812,9993142,E13,E13
14709812,12179872,E13,TFP
14709812,22598920,E13,TFP
14709812,47588692,E13,TFP
14709812,118898139,E13,E13
14709812,211904475,E13,E13
14865840,24503,E13,TFP
14865840,5863152,E13,TFP
14865840,7046912,E13,E13
14865840,12179872,E13,TFP
14865840,17283453,E13,TFP
14865840,22203964,E13,E13
14865840,22521283,E13,TFP
14865840,135441917,E13,E13
14958182,157042531,E13,TFP
14958182,216522413,E13,E13
14958182,228711740,E13,TFP
15016610,22598920,E13,TFP
15271419,8927532,E13,E13
15271419,29646177,E13,E13
15271419,31102741,E13,E13
15271419,48182327,E13,E13
15271419,56326516,E13,E13
15271419,67887304,E13,TFP
15271419,72890647,E13,E13
15271419,74156552,E13,E13
15271419,105429377,E13,E13
15271419,109079114,E13,E13
15271419,111924058,E13,E13
15271419,129515952,E13,TFP
15271419,133447001,E13,E13
15271419,149248959,E13,TFP
15271419,174747861,E13,E13
15271419,207490418,E13,TFP
15271419,291949510,E13,TFP
15271419,293394867,E13,E13
15271419,317336535,E13,TFP
15271419,326054560,E13,E13
15271419,327900613,E13,E13
15271419,349204176,E13,E13
15271419,351555225,E13,E13
15271419,365372541,E13,E13
15271419,373947833,E13,E13
15271419,377914761,E13,E13
15271419,379296310,E13,TFP
15271419,380319760,E13,E13
15271419,388348486,E13,E13
15271419,405611085,E13,TFP
15271419,413296140,E13,E13
15271419,415900150,E13,E13
15271419,417735070,E13,E13
15271419,425138781,E13,E13
15271419,425263052,E13,E13
15271419,428117425,E13,E13
15271419,437007483,E13,E13
15271419,450630648,E13,E13
15271419,469218793,E13,TFP
15271419,503425054,E13,E13
15271419,510047880,E13,E13
15271419,513726022,E13,E13
15271419,563022345,E13,E13
15271419,585439502,E13,E13
15271419,585968039,E13,E13
15271419,595539789,E13,E13
15271419,600090702,E13,E13
15271419,632742781,E13,E13
15271419,708429391,E13,E13
15271419,716206832,E13,E13
15271419,787115406,E13,E13
15271419,833089766,E13,TFP
15271419,835342567,E13,E13
15271419,862068776,E13,E13
15271419,951523590,E13,E13
15271419,991254878,E13,E13
15271419,1030992019,E13,E13
15271419,1031110604,E13,E13
15271419,1065760964,E13,E13
15271419,1205795042,E13,E13
15350901,8291932,E13,E13
15350901,22598920,E13,TFP
15350901,67253599,E13,TFP
15350901,77243029,E13,E13
15350901,110273768,E13,E13
15350901,111924058,E13,E13
15391421,3610511,E13,E13
15391421,6082972,E13,TFP
15391421,9939012,E13,E13
15391421,20303000,E13,TFP
15391421,22598920,E13,TFP
15391421,22624920,E13,TFP
15391421,81056258,E13,E13
15391421,85391583,E13,E13
15391421,105429377,E13,E13
15391421,109079114,E13,E13
15391421,111924058,E13,E13
15391421,195763762,E13,TFP
15391421,216522413,E13,E13
15391421,403766373,E13,E13
15391421,900040604,E13,E13
15873303,8291932,E13,E13
15873303,104897833,E13,E13
15873303,401502696,E13,E13
15873303,563022345,E13,E13
16043064,250171190,E13,E13
16093829,198418075,E13,E13
16591972,5863152,E13,TFP
16591972,7046912,E13,E13
16591972,7773732,E13,TFP
16591972,22521283,E13,TFP
16591972,22598920,E13,TFP
16591972,232560751,E13,E13
18527544,7773732,E13,TFP
18671285,22598920,E13,TFP
18671285,22624920,E13,TFP
18671285,22970058,E13,TFP
18671285,37889070,E13,E13
18671285,48034707,E13,E13
18671285,104566770,E13,E13
18671285,110273768,E13,E13
18671285,111924058,E13,E13
18671285,146215776,E13,TFP
18671285,152905850,E13,TFP
18671285,178507135,E13,E13
18800245,7046912,E13,E13
18800245,22203964,E13,E13
18800245,56326516,E13,E13
18800245,104566770,E13,E13
18800245,111924058,E13,E13
18800245,425138781,E13,E13
18800245,427676471,E13,E13
19598248,71295474,E13,E13
21102000,265529493,E13,E13
21102000,835342567,E13,E13
21770069,3610511,E13,E13
21770069,7773732,E13,TFP
21770069,22598920,E13,TFP
21770069,42676920,E13,E13
21770069,60508255,E13,E13
21770069,70735118,E13,E13
21770069,72816504,E13,E13
21770069,261223538,E13,E13
21770069,434826176,E13,E13
21770069,517073805,E13,E13
21770069,564653953,E13,E13
22015750,22598920,E13,TFP
22015750,56326516,E13,E13
22015750,83811813,E13,E13
22015750,202220813,E13,TFP
22015750,273686840,E13,E13
22015750,471093612,E13,E13
22203964,7046912,E13,E13
22203964,14865840,E13,E13
22203964,18800245,E13,E13
22203964,45314390,E13,E13
22203964,69892452,E13,E13
22203964,81056258,E13,E13
22203964,157290467,E13,E13
22203964,378009515,E13,E13
22203964,413917055,E13,E13
22203964,415073613,E13,E13
22203964,461425627,E13,E13
22203964,487416678,E13,E13
22203964,611783684,E13,E13
22203964,862114981,E13,E13
22203964,974558708,E13,E13
22508731,407101499,E13,E13
22985259,69892452,E13,E13
22985259,84596057,E13,E13
22985259,92403540,E13,E13
22985259,120720544,E13,E13
22985259,138438793,E13,E13
22985259,157042531,E13,TFP
22985259,178507135,E13,E13
22985259,187536784,E13,E13
22985259,215216086,E13,E13
22985259,216522413,E13,E13
22985259,232560751,E13,E13
22985259,349204176,E13,E13
22985259,496295496,E13,E13
22985259,517883021,E13,E13
22985259,558489220,E13,E13
22985259,563022345,E13,E13
22985259,602212821,E13,E13
22985259,702727668,E13,E13
22985259,706819428,E13,E13
22985259,810793700,E13,E13
22985259,825336607,E13,E13
22985259,835342567,E13,E13
22985259,1011395167,E13,E13
22985259,1031110604,E13,E13
22985259,1130960574,E13,E13
23748269,17421795,E13,TFP
23748269,110273768,E13,E13
23847948,29500667,E13,E13
23847948,104566770,E13,E13
23847948,469218793,E13,TFP
25442408,24503,E13,TFP
25442408,56326516,E13,E13
25911628,107471115,E13,TFP
25911628,211904475,E13,E13
26232444,92403540,E13,E13
26771352,92403540,E13,E13
27422705,111924058,E13,E13
27636956,131197741,E13,TFP
27636956,396898731,E13,E13
27636956,1047668299,E13,E13
28342883,5863152,E13,TFP
28342883,7046912,E13,E13
28342883,7773732,E13,TFP
28342883,9939012,E13,E13
28342883,12179872,E13,TFP
28342883,22521283,E13,TFP
28342883,22598920,E13,TFP
28342883,47588692,E13,TFP
28342883,81680710,E13,E13
28342883,104566770,E13,E13
28342883,113746083,E13,E13
28342883,118898139,E13,E13
28342883,131197741,E13,TFP
28342883,157042531,E13,TFP
28342883,202220813,E13,TFP
28342883,299837277,E13,E13
28342883,599940695,E13,E13
29500667,23847948,E13,E13
29500667,92403540,E13,E13
29500667,216522413,E13,E13
29510629,92403540,E13,E13
29646177,15271419,E13,E13
29646177,16002194,E13,TFP
29646177,22970058,E13,TFP
29646177,74156552,E13,E13
29646177,105429377,E13,E13
29646177,109079114,E13,E13
29646177,111924058,E13,E13
29646177,120720544,E13,E13
29646177,124578978,E13,E13
29646177,131435310,E13,E13
29646177,146215776,E13,TFP
29646177,168761446,E13,E13
29646177,188043254,E13,TFP
29646177,223007169,E13,TFP
29646177,293394867,E13,E13
29646177,326054560,E13,E13
29646177,344525772,E13,E13
29646177,351555225,E13,E13
29646177,370625229,E13,E13
29646177,379296310,E13,TFP
29646177,380319760,E13,E13
29646177,381960133,E13,E13
29646177,394814291,E13,E13
29646177,425380217,E13,E13
29646177,466489818,E13,E13
29646177,469218793,E13,TFP
29646177,483838785,E13,TFP
29646177,502315142,E13,E13
29646177,503425054,E13,E13
29646177,513726022,E13,E13
29646177,585968039,E13,E13
29646177,599940695,E13,E13
29646177,706819428,E13,E13
29646177,708429391,E13,E13
29646177,833089766,E13,TFP
29646177,851233315,E13,E13
29646177,1065760964,E13,E13
30062603,7773732,E13,TFP
30062603,12179872,E13,TFP
30062603,202220813,E13,TFP
31102741,6684602,E13,E13
31102741,15271419,E13,E13
31102741,56326516,E13,E13
31102741,92403540,E13,E13
31102741,136622745,E13,E13
31102741,174747861,E13,E13
31102741,226197498,E13,E13
31102741,332389973,E13,E13
31102741,377389027,E13,E13
31102741,388842116,E13,E13
31102741,544470195,E13,E13
31102741,594651076,E13,E13
31102741,632742781,E13,E13
31102741,702727668,E13,E13
31102741,876501625,E13,E13
31102741,1042842432,E13,E13
31102741,1072217274,E13,E13
31162918,5656162,E13,E13
31162918,22598920,E13,TFP
31162918,56326516,E13,E13
32025215,92403540,E13,E13
32025215,215216086,E13,E13
32130104,16002194,E13,TFP
32204918,18721974,E13,TFP
32204918,22598920,E13,TFP
32204918,92403540,E13,E13
32204918,131197741,E13,TFP
32204918,160466484,E13,E13
32204918,211487690,E13,E13
32204918,425380217,E13,E13
34355343,6140012,E13,E13
35737313,7046912,E13,E13
36190135,134803800,E13,E13
36381609,7046912,E13,E13
37539436,22598920,E13,TFP
37539436,37922072,E13,E13
37539436,81592426,E13,E13
37539436,124578978,E13,E13
37539436,157042531,E13,TFP
37539436,168761446,E13,E13
37539436,184812764,E13,E13
37539436,202555952,E13,E13
37539436,210459173,E13,E13
37539436,250171190,E13,E13
37539436,361784332,E13,E13
37539436,440128266,E13,TFP
37539436,920600658,E13,E13
37889070,18671285,E13,E13
37889070,63517006,E13,E13
37889070,104566770,E13,E13
37889070,109079114,E13,E13
37889070,111924058,E13,E13
37889070,295788103,E13,E13
37922072,37539436,E13,E13
37922072,104566770,E13,E13
37922072,407818010,E13,E13
38002859,17283453,E13,TFP
38002859,245953131,E13,E13
38002859,440184518,E13,E13
38002859,455340385,E13,E13
38002859,522925470,E13,E13
38223194,7046912,E13,E13
38223194,114726248,E13,TFP
38223194,131197741,E13,TFP
38730407,53400463,E13,TFP
38972677,36286962,E13,TFP
38972677,56326516,E13,E13
38972677,461425627,E13,E13
39721490,157042531,E13,TFP
39721490,170384943,E13,E13
39721490,415073613,E13,E13
39748948,356979186,E13,TFP
41780152,173411197,E13,TFP
42676920,21770069,E13,E13
42676920,62364690,E13,E13
42676920,92403540,E13,E13
42676920,120720544,E13,E13
42676920,151590831,E13,E13
42676920,413332388,E13,E13
42676920,568453926,E13,E13
42676920,770176435,E13,E13
42754744,22598920,E13,TFP
42754744,92403540,E13,E13
42754744,382247829,E13,E13
42754744,425380217,E13,E13
42754744,469218793,E13,TFP
43069058,92403540,E13,E13
43964510,9564632,E13,E13
43964510,22598920,E13,TFP
43964510,60490488,E13,TFP
43964510,72863207,E13,TFP
43964510,78116487,E13,E13
43964510,93378883,E13,TFP
44335261,13260592,E13,E13
44335261,56326516,E13,E13
45100798,153324815,E13,E13
45100798,187536784,E13,E13
45307775,22598920,E13,TFP
45307775,48989220,E13,E13
45307775,104566770,E13,E13
45307775,157042531,E13,TFP
45307775,422226730,E13,E13
45307775,549083012,E13,E13
45307775,621741580,E13,E13
45307775,1011395167,E13,E13
45314390,22203964,E13,E13
45529357,769985,E13,TFP
45529357,12551742,E13,TFP
45529357,76982240,E13,E13
45529357,202220813,E13,TFP
45529357,299837277,E13,E13
45529357,356979186,E13,TFP
46137662,207070244,E13,E13
46334699,81680710,E13,E13
46334699,140030010,E13,E13
46334699,471422290,E13,E13
46334699,900040604,E13,E13
48034707,2007021,E13,TFP
48034707,18671285,E13,E13
48034707,25046383,E13,TFP
48034707,62364690,E13,E13
48034707,104566770,E13,E13
48182327,15271419,E13,E13
48182327,29646177,E13,E13
48182327,56345134,E13,E13
48182327,110273768,E13,E13
48182327,471093612,E13,E13
48182327,538287562,E13,E13
48182327,585968039,E13,E13
48182327,600090702,E13,E13
48182327,987068240,E13,E13
48665791,1069178154,E13,E13
48989220,7470952,E13,E13
48989220,45307775,E13,E13
48989220,109079114,E13,E13
48989220,149248959,E13,TFP
48989220,173662542,E13,E13
48989220,228711740,E13,TFP
48989220,379296310,E13,TFP
48989220,406150965,E13,TFP
48989220,469218793,E13,TFP
48989220,471992869,E13,E13
48989220,522582939,E13,E13
48989220,560223770,E13,E13
48989220,585439502,E13,E13
48989220,632742781,E13,E13
48989220,706819428,E13,E13
48989220,835342567,E13,E13
48989220,920600658,E13,E13
48989220,1042842432,E13,E13
48989220,1065760964,E13,E13
49044510,77528520,E13,E13
49044510,108557681,E13,E13
49319803,7046912,E13,E13
49319803,8858022,E13,E13
49319803,300796010,E13,E13
49319803,600090702,E13,E13
49934607,92403540,E13,E13
49934607,157042531,E13,TFP
49977491,92403540,E13,E13
50589337,92403540,E13,E13
50589337,140410819,E13,E13
50619779,92403540,E13,E13
50619779,131559802,E13,TFP
50619779,157042531,E13,TFP
50619779,383387954,E13,E13
50972738,131197741,E13,TFP
51005435,92403540,E13,E13
51037293,471093612,E13,E13
51150318,7046912,E13,E13
51150318,22598920,E13,TFP
51150318,56326516,E13,E13
51150318,92403540,E13,E13
51150318,323809354,E13,E13
51150318,470379248,E13,E13
51150318,1052685680,E13,E13
52491055,161612145,E13,E13
52491055,327900613,E13,E13
53025684,7773732,E13,TFP
53025684,17426567,E13,TFP
53025684,56326516,E13,E13
53025684,92403540,E13,E13
53025684,209733883,E13,E13
53025684,210459173,E13,E13
53025684,232560751,E13,E13
53025684,406907214,E13,E13
53025684,435269515,E13,E13
53025684,475246008,E13,TFP
53025684,522582939,E13,E13
53025684,558489220,E13,E13
53025684,632742781,E13,E13
53027768,22598920,E13,TFP
53027768,92403540,E13,E13
54556442,160466484,E13,E13
54691030,787115406,E13,E13
54864334,370625229,E13,E13
54864334,522582939,E13,E13
54867711,585968039,E13,E13
54911584,133447001,E13,E13
54911584,215216086,E13,E13
54911584,425138781,E13,E13
55532545,140410819,E13,E13
55532545,349204176,E13,E13
55532545,394004577,E13,E13
55532545,422226730,E13,E13
55532545,825336607,E13,E13
55532545,876501625,E13,E13
55532545,974190704,E13,E13
55532545,1072217274,E13,E13
55590832,82837121,E13,E13
55590832,394233142,E13,E13
55819049,22598920,E13,TFP
55819049,296876973,E13,E13
55819049,440128266,E13,TFP
55819049,585968039,E13,E13
56326516,2007021,E13,TFP
56326516,5863152,E13,TFP
56326516,7046912,E13,E13
56326516,8933252,E13,E13
56326516,12179872,E13,TFP
56326516,13260592,E13,E13
56326516,15271419,E13,E13
56326516,18721974,E13,TFP
56326516,18800245,E13,E13
56326516,22015750,E13,E13
56326516,22598920,E13,TFP
56326516,22624920,E13,TFP
56326516,24176877,E13,TFP
56326516,25442408,E13,E13
56326516,25484842,E13,TFP
56326516,29646177,E13,E13
56326516,31102741,E13,E13
56326516,31162918,E13,E13
56326516,38972677,E13,E13
56326516,40337017,E13,TFP
56326516,44335261,E13,E13
56326516,51150318,E13,E13
56326516,53025684,E13,E13
56326516,57573169,E13,TFP
56326516,93378883,E13,TFP
56326516,104566770,E13,E13
56326516,111924058,E13,E13
56326516,112419862,E13,TFP
56326516,115955798,E13,E13
56326516,117463248,E13,E13
56326516,121045001,E13,TFP
56326516,131197741,E13,TFP
56326516,131435310,E13,E13
56326516,134803800,E13,E13
56326516,142335653,E13,E13
56326516,149248959,E13,TFP
56326516,157042531,E13,TFP
56326516,181477746,E13,E13
56326516,188043254,E13,TFP
56326516,204808236,E13,TFP
56326516,209733883,E13,E13
56326516,212175167,E13,E13
56326516,215216086,E13,E13
56326516,232560751,E13,E13
56326516,252516822,E13,E13
56326516,279461605,E13,E13
56326516,284481700,E13,E13
56326516,299837277,E13,E13
56326516,308151060,E13,E13
56326516,321425967,E13,E13
56326516,356979186,E13,TFP
56326516,361097511,E13,E13
56326516,361784332,E13,E13
56326516,364851614,E13,E13
56326516,380172348,E13,E13
56326516,380319760,E13,E13
56326516,396898731,E13,E13
56326516,405418046,E13,E13
56326516,413296140,E13,E13
56326516,415073613,E13,E13
56326516,434826176,E13,E13
56326516,436612105,E13,E13
56326516,440128266,E13,TFP
56326516,444833485,E13,E13
56326516,450630648,E13,E13
56326516,510047880,E13,E13
56326516,513726022,E13,E13
56326516,517400735,E13,E13
56326516,522582939,E13,E13
56326516,577422947,E13,E13
56326516,583885189,E13,TFP
56326516,585968039,E13,E13
56326516,595539789,E13,E13
56326516,600090702,E13,E13
56326516,632742781,E13,E13
56326516,801510450,E13,E13
56326516,1204191037,E13,E13
56345134,2007021,E13,TFP
56345134,7046912,E13,E13
56345134,48182327,E13,E13
56345134,106456147,E13,E13
56345134,107471115,E13,TFP
56345134,126737626,E13,E13
56345134,157042531,E13,TFP
56345134,318949971,E13,E13
56345134,383292062,E13,E13
56345134,470379248,E13,E13
56345134,502315142,E13,E13
56345134,509320296,E13,E13
56345134,601810260,E13,E13
56345134,835342567,E13,E13
56345134,970505658,E13,E13
56345134,1017813961,E13,E13
56466070,62364690,E13,E13
56706947,95008519,E13,E13
56706947,425380217,E13,E13
56966762,283906965,E13,E13
57928664,16002194,E13,TFP
57928664,92403540,E13,E13
57928664,157042531,E13,TFP
57928664,1099363334,E13,E13
59083826,7046912,E13,E13
59083826,22598920,E13,TFP
59083826,74486653,E13,E13
